AccessID,CustomerID,AccessCategory,AccessDate,SessionDuration,PagesViewed,DeviceType,Browser,IPAddress,ReferrerURL,IsLoggedIn
1,13,person,2024-03-23 17:59:19,60,4,Desktop,"Mozilla/5.0 (iPad; CPU iPad OS 14_2_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/48.0.893.0 Mobile/42X714 Safari/531.0",12.114.249.28,https://taylor.biz/,True
2,182,management,2024-05-23 22:53:07,65,6,Desktop,Mozilla/5.0 (Windows NT 6.1; ky-KG; rv:1.9.1.20) Gecko/2018-11-05 20:58:58 Firefox/3.8,103.130.165.94,https://moore-williams.biz/,False
3,83,consider,2024-01-20 14:39:19,4,28,Mobile,Opera/9.60.(Windows 98; Win 9x 4.90; ne-NP) Presto/2.9.183 Version/12.00,223.251.206.104,https://orr-edwards.com/,True
4,206,they,2024-04-12 04:19:11,77,6,Mobile,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.1),213.226.189.229,http://www.tucker.info/,True
5,59,material,2024-02-17 01:08:54,46,10,Tablet,Mozilla/5.0 (Windows 95; nb-NO; rv:1.9.0.20) Gecko/2011-01-24 06:53:04 Firefox/12.0,71.248.154.124,https://www.stevens-cox.com/,False
6,166,that,2024-05-30 00:57:07,43,6,Desktop,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/32.0.885.0 Safari/535.0",179.177.69.225,https://brown.com/,True
7,89,style,2024-02-27 06:47:06,107,19,Tablet,Opera/8.78.(Windows 98; Win 9x 4.90; fur-IT) Presto/2.9.188 Version/12.00,109.236.82.133,http://jones.info/,False
8,242,forward,2024-04-19 18:04:04,107,20,Tablet,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5 rv:2.0; kok-IN) AppleWebKit/534.12.6 (KHTML, like Gecko) Version/5.0.1 Safari/534.12.6",194.32.46.55,http://www.farley.com/,False
9,21,clearly,2024-06-15 16:48:45,15,22,Mobile,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; tr-CY) AppleWebKit/534.16.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6534.16.4",148.178.243.66,http://bush.com/,True
10,187,focus,2024-04-07 13:22:13,71,18,Desktop,Opera/9.70.(X11; Linux i686; ne-NP) Presto/2.9.175 Version/11.00,144.157.247.26,https://www.moyer.com/,False
11,144,risk,2024-06-16 21:45:52,85,24,Mobile,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2015-11-21 09:57:09 Firefox/3.6.5,37.32.79.25,https://conway.com/,False
12,190,bill,2024-03-13 01:12:11,2,4,Desktop,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/10.9h0808.0 Mobile/76Y904 Safari/535.1",159.2.144.38,https://miller.com/,True
13,90,leave,2024-05-29 07:02:30,84,13,Tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/4.1),76.87.54.137,https://www.evans.info/,True
14,158,have,2024-06-04 09:46:00,107,6,Tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/10.8f9320.0 Mobile/84Y438 Safari/532.0",91.158.212.100,https://www.brown-mays.com/,False
15,214,lay,2024-06-29 22:35:09,53,7,Desktop,Opera/8.70.(X11; Linux x86_64; ps-AF) Presto/2.9.161 Version/11.00,54.195.27.11,https://www.little.com/,False
16,275,person,2024-02-17 14:40:22,2,4,Tablet,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),105.55.189.189,http://johnson-hernandez.net/,False
17,58,decision,2024-02-20 15:24:44,74,3,Mobile,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/25.0.858.0 Safari/531.2",190.207.21.73,http://www.richmond.net/,False
18,173,finally,2024-05-25 13:59:39,118,28,Tablet,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/61.0.823.0 Safari/536.2",16.240.39.137,https://www.hamilton-jones.com/,False
